t_s,v_true_mps,v_raw_mps,v_iqr_mps,v_kalman_mps
3.112,1.6021961307126,1.60248419955929,1.59580103282242,1.59573749404269
3.152,1.60634963485406,1.62297136143534,1.60176739777898,1.60170827539247
3.192,1.61048907092211,1.61332095086144,1.60641630318294,1.60637014161041
3.232,1.61461427549889,1.6032457169337,1.61174874548451,1.61169600900463
3.272,1.61872508572839,1.62793445363113,1.61246544134632,1.61245789716679
3.312,1.62282133932286,1.60987294970929,1.61526484257226,1.6152373208541
3.352,1.62690287456924,1.63330814676485,1.61649965588153,1.61648727885817
3.392,1.63096953033548,1.60378037189399,1.61759493671642,1.61758407628168
3.432,1.63502114607699,1.6217094886644,1.62265647297748,1.62260673881736
3.472,1.63905756184292,1.64171403744221,1.62484885801428,1.62482687434032
3.512,1.64307861828248,1.61139050554163,1.62798955168409,1.62795854206263
3.552,1.64708415665124,1.66017838031317,1.63426410229383,1.63420227713286
3.592,1.65107401881742,1.71175118070526,1.63923622747722,1.63918687027835
3.632,1.65504804726809,1.68292042971289,1.64581132127417,1.64574636943261
3.672,1.6590060851154,1.68461168819823,1.64669968067991,1.64669033359272
3.712,1.6629479761028,1.66838999560557,1.65323704011309,1.65317285054553
3.752,1.66687356461119,1.63863206218597,1.65834522186495,1.65829450746723
3.792,1.67078269566504,1.6953733445282,1.66534437220188,1.66527524923643
3.832,1.67467521493857,1.64899602855371,1.6667873889609,1.66677256263645
3.872,1.67855096876177,1.70671045676552,1.6711874389393,1.67114415167726
3.912,1.68240980412653,1.64877657759558,1.67772472367692,1.67766020206294
3.952,1.68625156869262,1.68086319811882,1.68246938357325,1.68242223020225
3.992,1.69007611079376,1.69649099927985,1.68703534615289,1.68699011517805
4.032,1.69388327944357,1.75543739090958,1.68790803451629,1.68789903444195
4.072,1.69767292434157,1.66059082118588,1.68972531702452,1.68970741057204
4.112,1.70144489587905,1.70480479684983,1.68937142216384,1.68937471648451
4.152,1.70519904514503,1.71936942246702,1.69057060069748,1.69055887521533
4.192,1.70893522393215,1.70541208010362,1.6938513530806,1.69381907078268
4.232,1.71265328474244,1.65845455042702,1.69427013810541,1.69426571545162
4.272,1.71635308079324,1.72014906424759,1.69961151750498,1.69955910264249
4.312,1.72003446602294,1.75031662052161,1.70734965658123,1.70727327125881
4.352,1.72369729509674,1.70986581655549,1.71135435903872,1.71131434452777
4.392,1.72734142341244,1.74967438805547,1.71507258412767,1.71503573509925
4.432,1.73096670710607,1.71790785296953,1.71512358393724,1.71512272259132
4.472,1.73457300305766,1.72937336079674,1.72028200480699,1.72023141874615
4.512,1.73816016889681,1.73653527806743,1.72144256797746,1.72143069282388
4.552,1.74172806300836,1.69317360442401,1.72007709053732,1.72009036242374
4.592,1.74527654453795,1.70307053984082,1.72254864872546,1.72252454556242
4.632,1.74880547339761,1.74530698023099,1.7278170967354,1.72776520399056
4.672,1.75231471027127,1.73758391825696,1.7347049546452,1.73463691133334
4.712,1.75580411662028,1.74738026806968,1.74080459106005,1.74074411779869
4.752,1.75927355468883,1.79461033842657,1.7477489833294,1.74768030157503
4.792,1.76272288750946,1.76345372699664,1.75421166932343,1.75414763015045
4.832,1.76615197890842,1.78772222094643,1.76216062874625,1.76208206238421
4.872,1.76956069351104,1.74084278582327,1.76290155793511,1.76289352289262
4.912,1.77294889674711,1.77073893582323,1.76584020101552,1.76581130923706
4.952,1.77631645485617,1.7819960711871,1.76624054811306,1.76623633948423
4.992,1.77966323489279,1.78690454310815,1.76867338584243,1.76864949093415
5.032,1.78298910473182,1.76699393934899,1.77752865864365,1.77744159961119
5.072,1.78629393307363,1.82860601482167,1.77807137554574,1.77806520067831
5.112,1.78957758944924,1.7873168382761,1.78359425478861,1.78354004316461
5.152,1.79283994422552,1.79524823925894,1.7833773884555,1.78337898326282
